"Keyword Phrase","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"anker maggo charger","-",456,173,-35,1.21,0.97,1.6,192,379,1,0,1,0,0,0,0,0,0,188,"-",3
"speedy mag wireless charger for iphone","-",157,51,-44,1.49,1,1.61,118,324,1,0,0,0,0,0,0,0,0,"-","-",3
"anker 5k magsafe","-",3048,317,14,,,,73,104,1,0,0,0,0,0,0,0,0,"-","-",3
"magsafe charger anker portable","-",157,116,3,,,,180,739,1,0,0,0,0,0,0,0,0,"-","-",3
"magsafe battery pack slim",61,2697,2217,11,1.51,0.98,1.62,430,822,1,0,1,0,0,0,0,0,0,39,"-",3
"iphone battery magsafe","-",95,285,-9,1.43,1.39,1.93,224,3000,1,0,0,0,0,0,0,0,0,"-","-",3
"qi2 magsafe charger",75,7023,4832,-7,1.02,0.68,1.64,524,688,1,0,1,0,0,0,0,0,0,68,"-",3
"anker power bank 10k","-",413,57,-42,,,,122,138,1,0,0,0,0,0,0,0,0,"-","-",3
"power bank with magsafe",5,285,285,-5,,,,306,1000,1,0,0,0,0,0,0,0,0,"-","-",3
"anker portable magsafe charger",8,650,408,31,,,,150,628,1,0,0,0,0,0,0,0,0,"-","-",3
"magsafe charger portable anker",6,682,412,33,,,,198,604,1,0,0,0,0,0,0,0,0,"-","-",3
"magsafe power bank fast charging","-",165,161,-28,,,,213,973,1,0,0,0,0,0,0,0,0,"-","-",3
"anker mago 622 magnetic battery","-",1549,141,-26,,,,54,91,1,0,0,0,0,0,0,0,0,"-","-",3
"magsafe 10000mah power bank","-",493,296,108,,,,200,601,1,0,0,0,0,0,0,0,0,"-","-",3
"anker magnetic power bank 10k","-",552,233,-5,,,,108,422,1,0,0,0,0,0,0,0,0,"-","-",3
"anker magnetic battery charger","-",397,268,21,,,,178,675,1,0,0,0,0,0,0,0,0,"-","-",3
"ultra thin magsafe power bank",3,587,348,114,1.3,1.13,1.55,165,593,1,0,1,0,0,0,0,0,0,78,"-",3
"qi2 magsafe battery pack","-",567,250,25,1.35,1.02,1.69,196,441,1,0,1,0,0,0,0,0,0,289,"-",3
"anker 622 mag go","-",674,190,-37,1.32,1.18,1.6,97,282,1,0,0,0,0,0,0,0,0,"-","-",3
