商品名称,商品缩略图,商品链接,国家、地区,商品价格最大值,商品价格最小值,商品星级,店铺商标链接,店铺链接,店铺名称,店铺销量,店铺商品数,商品类目-en,商品类目-zh,商品评论数,销量环比,带货达人数,上架时间,运费（预设目的地为纽约）,销量,销售额,运营模式
"Lefant M210 Pro Grey Robot Vacuum Cleaner, 2200Pa Powerful Suction, 120 Mins Runtime, Automatic Self-Charging, Wi-Fi(2.4Hz Only) )/App/Alexa Control, Ideal for Pet Hair, Hard Floor and Low-Pile Carpet Cleaning Machines",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/d79fecba-df49-4a40-a360-02ff2d9cc273.jpeg,https://shop.tiktok.com/view/product/1729435764173214451?region=US,美国,89.99,89.99,4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/178e2734-ef01-476f-9a87-e7e264592ca8.jpeg,aweme://ec/store?sellerId=7495343675799079667&url_maker=store_rpc&store_page_version=1,Lefant Sale Store,1662,8,Household Appliances,家电,20,,257,2024-05-06,$0.00,,,
"Lefant M210 Pro Robot Vacuum Cleaner, 2200Pa Powerful Suction, 120 Mins Runtime, Automatic Self-Charging, Wi-Fi(2.4Hz Only) /App/Alexa Control, Ideal for Pet Hair, Hard Floor and Low-Pile Carpet Household Appliances",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/9a79438b-745b-47c9-89fa-426280fda42b.jpeg,https://shop.tiktok.com/view/product/1729435963051381491?region=US,美国,89.99,89.99,4.5,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/178e2734-ef01-476f-9a87-e7e264592ca8.jpeg,aweme://ec/store?sellerId=7495343675799079667&url_maker=store_rpc&store_page_version=1,Lefant Sale Store,1662,8,Household Appliances,家电,71,,169,2024-05-06,$0.00,,,
"Lefant M210 Pro Robot Vacuum Cleaner, anti-tangle 2200Pa suction, ultra-thin, quiet, self-charging Wi-Fi/APP remote connection robot vacuum cleaner, works with Alexa, perfect for pet hair, hard floors",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/e35b7375-53ef-40e1-8b9d-38323fec321c.jpeg,https://shop.tiktok.com/view/product/1729435979564356339?region=US,美国,199.99,199.99,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/178e2734-ef01-476f-9a87-e7e264592ca8.jpeg,aweme://ec/store?sellerId=7495343675799079667&url_maker=store_rpc&store_page_version=1,Lefant Sale Store,1662,8,Household Appliances,家电,0,,13,2024-02-26,,,,
"eufy L60 Robot Vacuum with Self Empty Station, Hair Detangling Technology, Up to 60 Days Hands Free Cleaning, 5,000 Pa Suction, Remove Hair, Dust｜Spingtok",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/35a865ce-e135-436d-a565-cb8c0d96e7d9.jpeg,https://shop.tiktok.com/view/product/1729436096017306384?region=US,美国,319.99,319.99,3.6,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/da25edea-8e95-41b4-9332-72ef0ee8cd9e.jpeg,aweme://ec/store?sellerId=7495157213974203152&url_maker=store_rpc&store_page_version=1,eufyOfficial,178864,113,Household Appliances,家电,10,,223,2024-05-06,$0.00,,,
Lefant N3 Robot Vacuum Mop Combo Precise Mapping with LiDAR and dToF Sensor Maximum Suction Power 4000Pa Ultrasonic Carpet Detection Robot Vacuum Cleaner with Sonic Mopping WiFi/App/Alexa Control,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/7f6eae73-9d71-42ea-a783-c4728f2918be.jpeg,https://shop.tiktok.com/view/product/1729436237981717235?region=US,美国,399.99,399.99,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/178e2734-ef01-476f-9a87-e7e264592ca8.jpeg,aweme://ec/store?sellerId=7495343675799079667&url_maker=store_rpc&store_page_version=1,Lefant Sale Store,1662,8,Household Appliances,家电,0,,9,2024-05-06,,,,
"Lefant Left filter replacement kit: 4 filters for M210/ M210B/ M213/ M210S and M210 Pro (black/grey/champagne), filter size 5.0*1.9 inch robot vacuum cleaner",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/085c48a6-fc66-4695-b44a-6b84d0c0ada7.jpeg,https://shop.tiktok.com/view/product/1729436269126456051?region=US,美国,16.90,16.90,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/178e2734-ef01-476f-9a87-e7e264592ca8.jpeg,aweme://ec/store?sellerId=7495343675799079667&url_maker=store_rpc&store_page_version=1,Lefant Sale Store,1662,8,Household Appliances,家电,0,,3,2024-05-06,$0.00,,,
"Lefant Replacement Parts Side Brushes Compatible Robot Vacuum M210, M210B, M210P, M213, M213S, F1, M1, P1, N1K, Robotic Vacuums and More",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/5920ce6a-4c97-4066-8d01-6dddd6ad44c7.jpeg,https://shop.tiktok.com/view/product/1729436306179134195?region=US,美国,16.90,16.90,5,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/178e2734-ef01-476f-9a87-e7e264592ca8.jpeg,aweme://ec/store?sellerId=7495343675799079667&url_maker=store_rpc&store_page_version=1,Lefant Sale Store,1662,8,Household Appliances,家电,1,,3,2024-05-06,$0.00,,,
"Lefant remote control, compatible with robot vacuum cleaners M210, M210B, M210P, M213, M213S, N1K, P1, F1, M501B, U180 robot vacuum cleaners",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/18d7d343-cdde-4395-a9db-f0efd2c3e62f.jpeg,https://shop.tiktok.com/view/product/1729436320434721523?region=US,美国,11.90,11.90,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/178e2734-ef01-476f-9a87-e7e264592ca8.jpeg,aweme://ec/store?sellerId=7495343675799079667&url_maker=store_rpc&store_page_version=1,Lefant Sale Store,1662,8,Household Appliances,家电,0,,2,2024-05-06,$0.00,,,
"New Updated Model Freo Robot Vacuum and Mop Combo, White, Washing & Drying, Dirt Sense Ultra Clean, Auto Add Cleaner, LCD Display, Smart Swing, Arcuate-Route, Wifi, APP Control",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/f48cb990-d816-401f-9516-1981f1a11d8b__1729437718174929814.jpeg,https://shop.tiktok.com/view/product/1729437718174929814?region=US,美国,1890.56,1890.56,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/ff40c3b7-9af2-4907-b41d-8f96e711d537.jpeg,aweme://ec/store?sellerId=7495507465964587926&url_maker=store_rpc&store_page_version=1,Home True-Improvement,1,7,Household Appliances,家电,0,,11,2024-10-14,,,,
"OKP K5 Pro Robot Vacuum and Mop, 2 in 1 Mopping Robotic Vacuum with 5000 Pa Suction Power, Auto Self-Recharging, Wi-Fi(2.4Hz Only) /APP/Alexa/Remote Control, Good for Hard Floors and Pet Hair Pick Up Home Appliances robotvacuummop",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/7918681e-3b9e-483f-ad7e-ce8df64ef26e.jpeg,https://shop.tiktok.com/view/product/1729438847795303148?region=US,美国,349.99,349.99,4.8,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/097d0de4-6e75-4026-adfe-8f47f5f8deef.jpeg,aweme://ec/store?sellerId=7495372762472876780&url_maker=store_rpc&store_page_version=1,OKP LIFE HOME,1704,5,Household Appliances,家电,5,,254,2024-02-27,$0.00,,,
"3 in 1 AI Ultra Voice Control Robot Vacuum with Mop Combo, 4500Pa Strong Suction, Laresar Evol 3 Robotic Vacuum Cleaner,Self-Empty Base for Homes with Pets, Carpet & Hard Floors",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/408b4c36-b156-434a-9c0d-96106b4f3cfa.jpeg,https://shop.tiktok.com/view/product/1729439411847730041?region=US,美国,148.79,148.79,4.8,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/d4d0aade-eb65-4f3a-962f-c5681fcc029e.jpeg,aweme://ec/store?sellerId=7495513445685627769&url_maker=store_rpc&store_page_version=1,Vacuum Innovation,1570,10,Household Appliances,家电,16,,1186,2024-05-04,$0.00,,,
"iHome iHRV1-BLK AutoVac Eclipse Robot and Self Charging Vacuum Cleaner, Black",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/9124d0cc-19f8-4316-9ee9-6438ffdfc25c.jpeg,https://shop.tiktok.com/view/product/1729440347020300892?region=US,美国,136.99,136.99,2,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/735db3ab-b8a0-4622-8f38-99529c453206.jpeg,aweme://ec/store?sellerId=7495297466480036444&url_maker=store_rpc&store_page_version=1,Spreetail,70463,2883,Household Appliances,家电,1,,13,2024-04-16,$0.00,,,
"Lefant M1 Robot Vacuum with LiDAR Navigation, 6000Pa Strong Suction, Smart Mapping & No-Go Zones, 150 Min Runtime, Works with Alexa & App, Ideal for Pet Hair & Hard Floors Cleaning Machine Household Appliances",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/9bcf998a-f50b-4f04-90bf-94e516883c4e.jpeg,https://shop.tiktok.com/view/product/1729440411308626675?region=US,美国,179.99,179.99,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/178e2734-ef01-476f-9a87-e7e264592ca8.jpeg,aweme://ec/store?sellerId=7495343675799079667&url_maker=store_rpc&store_page_version=1,Lefant Sale Store,1662,8,Household Appliances,家电,0,,11,2024-05-04,$0.00,,,
"DREAME D10s Plus Robot Vacuum and Mop Combo, Self-Emptying for up to 65 Days, 5,000Pa Suction Power, Advanced AI and LiDAR Navigation, 280-min Runtime, Compatible with Alexa, Ideal for Pet Hair",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/50fb713f-527c-4848-afd3-d66ce7b46dae.jpeg,https://shop.tiktok.com/view/product/1729440724193874849?region=US,美国,279.99,279.99,5,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/f51b741f-b397-4584-a84c-cc85fce0a39e.jpeg,aweme://ec/store?sellerId=7495393233106799521&url_maker=store_rpc&store_page_version=1,DreameUS,18045,34,Household Appliances,家电,2,,461,2024-04-02,$0.00,,,
