kol_connection_date,kol_tiktol_id,kol_blogger_type,kol_url,kol_followers,kol_likes,kol_post_videos,kol_post_products,kol_post_script_type,kol_approval_status,kol_post_progress,kol_post_date,kol_post_url,kol_post_views,kol_post_likes,kol_post_comments
5.16,oghappycakes,,https://www.tiktok.com/@oghappycakes?shop_region=US,60.7k,2.2M,1,E28,,通过,5.16确认合作意向产品素材了解,,,,,
5.16,iperez295,,https://www.tiktok.com/@iperez295?shop_region=US,19.9k,16.4K,1,E28,,不合作,5.16确认合作意向产品素材了解,,,,,
5.19,zoslifeontok,个人博主带宠物,https://www.tiktok.com/@zoslifeontok,28k,4.9M,1,E28,,通过,5.19确认合作意向产品素材了解,,,,,
5.19,hazesmomma,好物分享宝妈,https://www.tiktok.com/@hazesmomma,25k,1.8M,1,E28,,通过,5.19确认合作意向产品素材了解,,,,,
5.19,laurenfrancesca,好物分享带宠物,https://www.tiktok.com/@laurenfrancesca?shop_region=US,191.5k,1.2M,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
5.19,anointedvoicee,pov,https://www.tiktok.com/@anointedvoicee?shop_region=US,61.3k,3.8M,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
5.19,its.mama.p,pov宝妈,https://www.tiktok.com/@its.mama.p?shop_region=US,102.8k,975.3K,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
5.19,babyy..ansleiigh,pov带宠物,https://www.tiktok.com/@babyy..ansleiigh?shop_region=US,104.5K,1M,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
5.19,screamingchihuahua,宠物博主,https://www.tiktok.com/@screamingchihuahua?shop_region=US,99.7k,4.8M,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
5.19,ahines19,个人博主带娃,https://www.tiktok.com/@ahines19?shop_region=US,63.9k,384.5K,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
5.19,hdodson1213,宝妈,https://www.tiktok.com/@hdodson1213?shop_region=US,62.7k,292.2K,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
5.19,_taylorpadgett_,个人博主带娃,https://www.tiktok.com/@_taylorpadgett_?shop_region=US,84.5K,1.7M,1,E28,,通过,5.19确认合作意向产品素材了解,,,,,
5.19,hannnahh_bananaa,个人博主带娃,https://www.tiktok.com/@hannnahh_bananaa?shop_region=US,202.5k,4.2M,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
5.19,emmarie_lane,个人博主,https://www.tiktok.com/@emmarie_lane?shop_region=US,232.2K,16.3M,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
5.19,jes.scafidi,pov,https://www.tiktok.com/@jes.scafidi?shop_region=US,22.5k,114.7K,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
5.19,scarcelybecky,个人博主,https://www.tiktok.com/@scarcelybecky?shop_region=US,73.2k,2.1M,1,E28,,不合作,5.19确认合作意向产品素材了解,,,,,
